function_name,basicblock_id,number_of_instructions,instructions
lua_closeslot,BB#1,5,"renamable $rax = MOV64rm renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.5, !tbaa !3); renamable $esi = MOV32rr killed renamable $esi, implicit-def $rsi; renamable $rsi = SHL64ri killed renamable $rsi(tied-def 0), 4, implicit-def dead $eflags; renamable $rsi = ADD64rm killed renamable $rsi(tied-def 0), killed renamable $rax, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.6, !tbaa !12); JMP_1 %bb.3"
lua_closeslot,BB#2,3,"renamable $rsi = MOVSX64rr32 killed renamable $esi; renamable $rsi = SHL64ri killed renamable $rsi(tied-def 0), 4, implicit-def dead $eflags; renamable $rsi = ADD64rm killed renamable $rsi(tied-def 0), renamable $rdi, 1, $noreg, 16, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.11, !tbaa !12)"
lua_closeslot,BB#3,9,"frame-setup PUSH64r undef $rax, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 16; $edx = MOV32ri -1; $ecx = MOV32r0 implicit-def dead $eflags; CALL64pcrel32 @luaF_close, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit killed $edx, implicit killed $ecx, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; MOV8mi killed renamable $rax, 1, $noreg, 8, $noreg, 0 :: (store (s8) into %ir.18, align 8, !tbaa !12); $rax = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 8; RET 0"
lua_rotate,BB#0,3,"renamable $rax = MOV64rm renamable $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.4, !tbaa !12); TEST32rr renamable $esi, renamable $esi, implicit-def $eflags; JCC_1 %bb.2, 14, implicit killed $eflags"
lua_rotate,BB#1,5,"renamable $rdi = MOV64rm killed renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.9, !tbaa !3); renamable $ecx = MOV32rr killed renamable $esi, implicit-def $rcx; renamable $rcx = SHL64ri killed renamable $rcx(tied-def 0), 4, implicit-def dead $eflags; renamable $rcx = ADD64rm killed renamable $rcx(tied-def 0), killed renamable $rdi, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.10, !tbaa !12); JMP_1 %bb.3"
lua_rotate,BB#2,3,"renamable $rcx = MOVSX64rr32 killed renamable $esi; renamable $rcx = SHL64ri killed renamable $rcx(tied-def 0), 4, implicit-def dead $eflags; renamable $rcx = ADD64rr killed renamable $rcx(tied-def 0), renamable $rax, implicit-def dead $eflags"
lua_rotate,BB#3,3,"renamable $rax = ADD64ri32 killed renamable $rax(tied-def 0), -16, implicit-def dead $eflags; TEST32rr renamable $edx, renamable $edx, implicit-def $eflags; JCC_1 %bb.5, 8, implicit killed $eflags"
lua_rotate,BB#4,5,"renamable $esi = MOV32rr killed renamable $edx, implicit-def $rsi; renamable $rsi = SHL64ri killed renamable $rsi(tied-def 0), 4, implicit-def dead $eflags; renamable $rdx = COPY renamable $rax; renamable $rdx = SUB64rr killed renamable $rdx(tied-def 0), killed renamable $rsi, implicit-def dead $eflags; JMP_1 %bb.6"
lua_rotate,BB#5,5,"renamable $rsi = MOVSX64rr32 killed renamable $edx; renamable $rsi = SHL64ri killed renamable $rsi(tied-def 0), 4, implicit-def dead $eflags; renamable $rdx = COPY renamable $rcx; renamable $rdx = SUB64rr killed renamable $rdx(tied-def 0), killed renamable $rsi, implicit-def dead $eflags; renamable $rdx = ADD64ri32 killed renamable $rdx(tied-def 0), -16, implicit-def dead $eflags"
lua_rotate,BB#6,2,"CMP64rr renamable $rcx, renamable $rdx, implicit-def $eflags; JCC_1 %bb.9, 3, implicit $eflags"
